"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00427924","1981-10-21","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-22","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-23","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-24","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-25","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-26","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-27","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-28","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-10-29","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  335",",,0,1800","   76",",,0","   76",",,0",,,,,,,,,,,"    1",",,0",,
"USC00427924","1981-10-30","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  292",",,0,1800","   89",",,0","  102",",,0",,,,,,,,,,,,,,
"USC00427924","1981-10-31","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-01","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","   25",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-02","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-03","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-11-04","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
